GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo/org.jacoco.agent,org.jacoco.agent,AgentJar,11,80,2,6,3,28,2,8,0,6
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,CoverageTransformer,0,135,0,14,0,25,0,12,0,5
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent.new Object() {...},4,29,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent,101,46,5,4,28,12,8,6,5,3
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent.new Thread() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,ClassFileDumper,0,74,0,6,0,18,0,5,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent.new IExceptionLogger() {...},3,0,0,0,2,0,1,0,1,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpClientController.new Runnable() {...},0,18,0,0,0,6,0,2,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpServerController.new Runnable() {...},0,58,0,4,0,12,0,4,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpClientController,8,54,0,0,1,16,1,4,1,4
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,LocalController,0,47,1,1,0,12,1,3,0,3
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,MBeanController,1,56,0,0,1,15,1,7,1,7
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpServerController,13,72,1,5,2,22,2,7,1,5
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpConnection,3,97,3,11,1,28,3,10,0,6
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask.TestNGTaskEnhancer,4,8,0,0,2,3,1,1,1,1
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask,0,383,2,28,0,92,2,26,0,13
JaCoCo/org.jacoco.ant,org.jacoco.ant,DumpTask.new OutputStream() {...},0,1,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.ant,org.jacoco.ant,AgentTask,0,33,0,6,0,7,0,5,0,2
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.SourceFilesElement,0,24,0,2,0,9,0,4,0,3
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask,0,126,0,12,0,32,0,10,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,AntResourcesLocator,0,60,0,4,0,17,0,6,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.CSVFormatterElement,0,44,0,2,0,13,0,5,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.HTMLFormatterElement,0,98,0,6,0,31,0,10,0,7
JaCoCo/org.jacoco.ant,org.jacoco.ant,AbstractCoverageTask,9,109,0,2,3,40,0,18,0,17
JaCoCo/org.jacoco.ant,org.jacoco.ant,DumpTask,4,177,0,8,2,53,1,13,1,9
JaCoCo/org.jacoco.ant,org.jacoco.ant,AntFilesLocator,0,34,0,2,0,9,0,4,0,3
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.GroupElement,0,39,0,0,0,11,0,5,0,5
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.Options,0,8,0,0,0,2,0,1,0,1
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask.JavaLikeTaskEnhancer,0,71,0,2,0,25,0,5,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.Options.SourceDirectives,0,10,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.ant,org.jacoco.ant,MergeTask,0,166,0,6,0,46,0,9,0,6
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.XMLFormatterElement,0,44,0,2,0,13,0,5,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,MethodAnalyzer,6,433,1,43,4,122,3,47,2,26
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,PackageCoverageImpl,0,37,0,4,0,10,0,5,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,SourceFileCoverageImpl,0,11,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,SourceNodeImpl,0,269,0,34,0,62,0,25,0,8
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,CounterImpl.Var,0,19,0,0,0,5,0,2,0,2
